Retweeter,Retweeted
Mark_Amodei,Steve_Scalise
Paul_Cook_(politician),Cathy_McMorris_Rodgers
Paul_Cook_(politician),Paul_Ryan
Paul_Cook_(politician),Ed_Royce
Paul_Cook_(politician),Paul_Ryan
Paul_Cook_(politician),Kevin_McCarthy_(U.S._Representative)
Paul_Cook_(politician),Paul_Ryan
Paul_Cook_(politician),Paul_Ryan
Ed_Royce,Steve_Scalise
Ed_Royce,Steve_Scalise
Ed_Royce,Paul_Ryan
Ed_Royce,Steve_Scalise
Ed_Royce,Paul_Ryan
Ed_Royce,Joyce_Beatty
Ed_Royce,Steve_Scalise
Ed_Royce,Ileana_Ros-Lehtinen
Ed_Royce,Kevin_Brady
Ed_Royce,Ed_Royce
Joe_Courtney_(politician),Mike_Doyle_(American_politician)
Sean_Duffy,Greg_Walden
Sean_Duffy,Richard_Hudson_(American_politician)
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Steve_Stivers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Steve_Scalise
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Mike_Gallagher_(American_politician)
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Steve_Scalise
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Jason_Smith_(politician)
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Paul_Ryan
Sean_Duffy,Paul_Ryan
Sean_Duffy,Tom_Graves
Sean_Duffy,Sean_Duffy
Sean_Duffy,Patrick_McHenry
Dave_Reichert,Ann_Wagner
Dave_Reichert,Ann_Wagner
Dave_Reichert,Kevin_Brady
Dave_Reichert,Steve_Scalise
Jim_McGovern_(American_politician),Gwen_Moore
Jim_McGovern_(American_politician),Bill_Pascrell
Jim_McGovern_(American_politician),Lloyd_Doggett
Jim_McGovern_(American_politician),Chellie_Pingree
Jim_McGovern_(American_politician),Katherine_Clark
Jim_McGovern_(American_politician),Ileana_Ros-Lehtinen
Jim_McGovern_(American_politician),Pramila_Jayapal
Jim_McGovern_(American_politician),Steny_Hoyer
Jim_McGovern_(American_politician),Jim_McGovern_(American_politician)
Jim_McGovern_(American_politician),Elijah_Cummings
Jim_McGovern_(American_politician),Barbara_Lee
Jim_McGovern_(American_politician),Frank_Pallone
Jim_McGovern_(American_politician),Alma_Adams
Jim_McGovern_(American_politician),Pramila_Jayapal
Jim_McGovern_(American_politician),Barbara_Lee
Jim_McGovern_(American_politician),Jackie_Speier
Rick_W._Allen,Paul_Ryan
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Rob_Wittman
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Chuck_Fleischmann
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Don_Young
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Kevin_McCarthy_(U.S._Representative)
Mac_Thornberry,Cathy_McMorris_Rodgers
Mac_Thornberry,Mike_Gallagher_(American_politician)
Sam_Johnson,Steve_Scalise
Sam_Johnson,Steve_Scalise
Sam_Johnson,Pete_Olson
Ruben_Gallego,Jackie_Speier
Ruben_Gallego,Jamie_Raskin
Ruben_Gallego,Sheila_Jackson_Lee
Ruben_Gallego,Raúl_Grijalva
Ruben_Gallego,Joaquín_Castro
Ruben_Gallego,Eric_Swalwell
Ruben_Gallego,Marc_Veasey
Ruben_Gallego,Eric_Swalwell
Ruben_Gallego,Don_Beyer
David_Kustoff,Steve_Scalise
David_Kustoff,Cathy_McMorris_Rodgers
David_Kustoff,Chuck_Fleischmann
Martha_McSally,Martha_McSally
Luke_Messer,Mark_Meadows_(North_Carolina_politician)
Mark_DeSaulnier,Debbie_Dingell
Mark_DeSaulnier,Mark_Pocan
Mark_DeSaulnier,Ann_McLane_Kuster
Mark_DeSaulnier,Jerry_Nadler
Mark_DeSaulnier,Joe_Kennedy_III
Mark_DeSaulnier,Richard_Neal
Mark_DeSaulnier,Mark_Pocan
Mark_DeSaulnier,Donald_Norcross
Mark_DeSaulnier,Debbie_Dingell
Mark_DeSaulnier,Adam_Schiff
Mike_Conaway,Paul_Ryan
Mike_Conaway,Martha_Roby
Mike_Conaway,Paul_Ryan
Mike_Conaway,David_Rouzer
Mike_Conaway,Rick_Crawford_(politician)
Mike_Conaway,Rick_Crawford_(politician)
Mike_Conaway,Rodney_Davis_(politician)
Mike_Conaway,Austin_Scott_(politician)
Mike_Conaway,Paul_Ryan
Mike_Conaway,Doug_LaMalfa
Mike_Conaway,Paul_Ryan
Mike_Conaway,Cathy_McMorris_Rodgers
Mike_Conaway,Mike_Bost
Mike_Conaway,Austin_Scott_(politician)
Mike_Conaway,Steve_Scalise
Mike_Conaway,Adam_Kinzinger
Mike_Conaway,Paul_Ryan
Mike_Conaway,Steve_Scalise
Mike_Conaway,Mike_Rogers_(Alabama_politician)
Mike_Conaway,Rick_W._Allen
Mike_Conaway,Mike_Conaway
Mike_Conaway,Jeb_Hensarling
Mike_Conaway,Will_Hurd
Jody_Hice,Lee_Zeldin
Jody_Hice,Mark_Meadows_(North_Carolina_politician)
Don_Young,Paul_Ryan
Hal_Rogers,Katherine_Clark
Hal_Rogers,Paul_Ryan
Hal_Rogers,Paul_Ryan
Hal_Rogers,Paul_Ryan
Mike_Johnson_(Louisiana_politician),Bruce_Westerman
Mike_Johnson_(Louisiana_politician),Ralph_Abraham_(politician)
Mike_Johnson_(Louisiana_politician),Charlie_Dent
Mike_Johnson_(Louisiana_politician),Darin_LaHood
Mike_Johnson_(Louisiana_politician),Charlie_Dent
Mike_Johnson_(Louisiana_politician),Claudia_Tenney
Mike_Johnson_(Louisiana_politician),Kevin_Brady
Mike_Johnson_(Louisiana_politician),Steve_Scalise
Mike_Johnson_(Louisiana_politician),Steve_Scalise
Mike_Johnson_(Louisiana_politician),Paul_Ryan
Brian_Higgins,Carlos_Curbelo
Brian_Higgins,Stephanie_Murphy
Brian_Higgins,Stephanie_Murphy
Lucille_Roybal-Allard,Ileana_Ros-Lehtinen
Lucille_Roybal-Allard,Ileana_Ros-Lehtinen
John_Lewis_(civil_rights_leader),Jimmy_Gomez
John_Lewis_(civil_rights_leader),Adriano_Espaillat
John_Lewis_(civil_rights_leader),Pramila_Jayapal
John_Lewis_(civil_rights_leader),Ileana_Ros-Lehtinen
Duncan_D._Hunter,Diane_Black
Zoe_Lofgren,Hakeem_Jeffries
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Frank_Pallone
Zoe_Lofgren,Mark_DeSaulnier
Zoe_Lofgren,Mike_Quigley_(politician)
Zoe_Lofgren,Mike_Quigley_(politician)
Zoe_Lofgren,Adam_Schiff
Zoe_Lofgren,Debbie_Dingell
Zoe_Lofgren,Jerry_Nadler
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Ann_McLane_Kuster
Zoe_Lofgren,Ted_Lieu
Zoe_Lofgren,Juan_Vargas
Zoe_Lofgren,Elijah_Cummings
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Val_Demings
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Ted_Lieu
Zoe_Lofgren,Jerry_Nadler
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Jared_Huffman
Zoe_Lofgren,Bill_Foster_(politician)
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Kathy_Castor
Zoe_Lofgren,Elizabeth_Esty
Zoe_Lofgren,Mark_Takano
Zoe_Lofgren,John_Sarbanes
Zoe_Lofgren,Ted_Deutch
Zoe_Lofgren,Bennie_Thompson
Zoe_Lofgren,Jerry_Nadler
Zoe_Lofgren,Robin_Kelly
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Jackie_Speier
Zoe_Lofgren,Jim_McGovern_(American_politician)
Zoe_Lofgren,Rosa_DeLauro
Zoe_Lofgren,Lucille_Roybal-Allard
Zoe_Lofgren,Jim_Sensenbrenner
Zoe_Lofgren,Judy_Chu
Zoe_Lofgren,Ted_Deutch
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Mark_Pocan
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Joe_Crowley
Zoe_Lofgren,Bill_Pascrell
Zoe_Lofgren,Rosa_DeLauro
Zoe_Lofgren,Maxine_Waters
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,John_B._Larson
Zoe_Lofgren,Jackie_Speier
Zoe_Lofgren,Joe_Crowley
Martha_Roby,Steve_Scalise
Martha_Roby,Bradley_Byrne
Martha_Roby,Bradley_Byrne
Martha_Roby,Paul_Ryan
Martha_Roby,Paul_Ryan
Martha_Roby,Bradley_Byrne
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Suzan_DelBene
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Scott_Peters_(politician)
Tim_Walz,Scott_Peters_(politician)
Marcia_Fudge,Marcy_Kaptur
Marcia_Fudge,Tim_Ryan_(Ohio_politician)
Marcia_Fudge,Paul_Tonko
Marcia_Fudge,Karen_Bass
Marcia_Fudge,Tim_Ryan_(Ohio_politician)
Marcia_Fudge,Nancy_Pelosi
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Pete_Sessions
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Paul_Ryan
Nita_Lowey,Mike_Quigley_(politician)
Nita_Lowey,Barbara_Lee
Nita_Lowey,Eliot_Engel
Nita_Lowey,Steny_Hoyer
Nita_Lowey,Betty_McCollum
Nita_Lowey,Chellie_Pingree
Nita_Lowey,Lucille_Roybal-Allard
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
Austin_Scott_(politician),Austin_Scott_(politician)
John_Conyers,Gerry_Connolly
John_Conyers,Jerry_Nadler
John_Conyers,Juan_Vargas
John_Conyers,Ileana_Ros-Lehtinen
Rick_Nolan,John_Yarmuth
Rick_Nolan,Mike_Gallagher_(American_politician)
Rod_Blum,Jim_Jordan_(American_politician)
Diane_Black,Steve_Scalise
Diane_Black,Matt_Gaetz
Diane_Black,Steve_Scalise
Diane_Black,Tom_O'Halleran
Yvette_Clarke,Nancy_Pelosi
Yvette_Clarke,Elijah_Cummings
Mike_Doyle_(American_politician),Hakeem_Jeffries
Mike_Doyle_(American_politician),John_Yarmuth
Mike_Doyle_(American_politician),Hank_Johnson
Mike_Doyle_(American_politician),Suzan_DelBene
Mike_Doyle_(American_politician),Stephanie_Murphy
Mike_Doyle_(American_politician),Denny_Heck
Mike_Doyle_(American_politician),Frank_Pallone
Ken_Buck,Paul_Ryan
Claudia_Tenney,Steve_Scalise
Claudia_Tenney,Adam_Kinzinger
Claudia_Tenney,Ileana_Ros-Lehtinen
Emanuel_Cleaver,Emanuel_Cleaver
Emanuel_Cleaver,Emanuel_Cleaver
Emanuel_Cleaver,Emanuel_Cleaver
Charlie_Dent,Marcy_Kaptur
Charlie_Dent,Jerry_McNerney
Charlie_Dent,David_Price_(American_politician)
Charlie_Dent,Nanette_Barragán
Charlie_Dent,Eddie_Bernice_Johnson
Charlie_Dent,Raúl_Grijalva
Charlie_Dent,Donald_Norcross
Charlie_Dent,Gwen_Moore
Charlie_Dent,Salud_Carbajal
Charlie_Dent,Alcee_Hastings
Charlie_Dent,Suzanne_Bonamici
Charlie_Dent,Nanette_Barragán
Joe_Kennedy_III,John_Lewis_(civil_rights_leader)
Joe_Kennedy_III,Dan_Kildee
Joe_Kennedy_III,Steny_Hoyer
Joe_Kennedy_III,Niki_Tsongas
Joe_Kennedy_III,Seth_Moulton
Linda_Sánchez,John_Lewis_(civil_rights_leader)
Linda_Sánchez,John_Lewis_(civil_rights_leader)
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,Linda_Sánchez
Linda_Sánchez,Sheila_Jackson_Lee
Linda_Sánchez,Marc_Veasey
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,Bill_Pascrell
Linda_Sánchez,Lois_Frankel
Linda_Sánchez,Bonnie_Watson_Coleman
Linda_Sánchez,Joe_Crowley
Linda_Sánchez,Mike_Thompson_(California_politician)
Linda_Sánchez,Earl_Blumenauer
Linda_Sánchez,Adriano_Espaillat
Linda_Sánchez,Richard_Neal
Linda_Sánchez,John_B._Larson
Linda_Sánchez,Marc_Veasey
Linda_Sánchez,Joe_Crowley
Linda_Sánchez,Lloyd_Doggett
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,Frank_Pallone
Linda_Sánchez,Jim_Clyburn
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,Alan_Lowenthal
Linda_Sánchez,Stephanie_Murphy
Linda_Sánchez,Doris_Matsui
Linda_Sánchez,Nancy_Pelosi
Linda_Sánchez,Stephanie_Murphy
Linda_Sánchez,Mike_Quigley_(politician)
Linda_Sánchez,Adam_Schiff
Linda_Sánchez,Donald_Norcross
Linda_Sánchez,Judy_Chu
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,Steny_Hoyer
Linda_Sánchez,Joe_Crowley
Linda_Sánchez,Ann_McLane_Kuster
Linda_Sánchez,John_Lewis_(civil_rights_leader)
Linda_Sánchez,Jim_Clyburn
Linda_Sánchez,Nanette_Barragán
Linda_Sánchez,Terri_Sewell
Linda_Sánchez,Lou_Correa
Linda_Sánchez,Judy_Chu
Linda_Sánchez,Gerry_Connolly
Linda_Sánchez,Ted_Deutch
Linda_Sánchez,Marc_Veasey
Linda_Sánchez,Ro_Khanna
Linda_Sánchez,Steny_Hoyer
Linda_Sánchez,Emanuel_Cleaver
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,John_Garamendi
Linda_Sánchez,Lucille_Roybal-Allard
Linda_Sánchez,Lou_Correa
Linda_Sánchez,Jimmy_Panetta
Linda_Sánchez,Adam_Schiff
Linda_Sánchez,Julia_Brownley
Linda_Sánchez,Nanette_Barragán
Linda_Sánchez,Scott_Peters_(politician)
Linda_Sánchez,Rosa_DeLauro
Linda_Sánchez,John_B._Larson
Linda_Sánchez,John_Yarmuth
James_Comer_(politician),Bob_Goodlatte
Scott_Tipton,Paul_Ryan
Scott_Tipton,Tom_Graves
Scott_Tipton,Paul_Ryan
Scott_Tipton,Cathy_McMorris_Rodgers
Dave_Reichert,Kevin_Brady
Gregg_Harper,Paul_Ryan
Gregg_Harper,Paul_Ryan
Gregg_Harper,Bradley_Byrne
Gregg_Harper,Cathy_McMorris_Rodgers
Gregg_Harper,Cathy_McMorris_Rodgers
Alex_Mooney,Dave_Reichert
Alex_Mooney,Steve_Scalise
John_Yarmuth,Debbie_Dingell
John_Yarmuth,John_Sarbanes
John_Yarmuth,Sheila_Jackson_Lee
John_Yarmuth,Raúl_Grijalva
John_Yarmuth,Mike_Doyle_(American_politician)
John_Yarmuth,Frank_Pallone
John_Yarmuth,Suzan_DelBene
John_Yarmuth,John_Lewis_(civil_rights_leader)
John_Yarmuth,Cheri_Bustos
John_Yarmuth,Ann_McLane_Kuster
John_Yarmuth,Ro_Khanna
John_Yarmuth,John_Yarmuth
John_Yarmuth,Val_Demings
John_Yarmuth,Pramila_Jayapal
Doug_Collins_(politician),Pete_Sessions
Doug_Collins_(politician),Paul_Ryan
Doug_Collins_(politician),Steve_Scalise
Doug_Collins_(politician),Doug_Collins_(politician)
Doug_Collins_(politician),Claudia_Tenney
Jim_Bridenstine,Lamar_Smith
Jim_Bridenstine,Thomas_Massie
Jim_Bridenstine,Doug_Lamborn
Jim_Bridenstine,Lamar_Smith
Jim_Bridenstine,Brian_Babin
Jim_Bridenstine,Doug_Lamborn
Jim_Bridenstine,Justin_Amash
Jim_Bridenstine,Daniel_Webster_(Florida_politician)
Jim_Bridenstine,Jeff_Duncan_(politician)
Jim_Bridenstine,Randy_Weber
Jim_Bridenstine,Randy_Weber
Virginia_Foxx,Steve_Scalise
Virginia_Foxx,Paul_Ryan
Virginia_Foxx,Cathy_McMorris_Rodgers
Virginia_Foxx,Paul_Ryan
Virginia_Foxx,Paul_Ryan
Virginia_Foxx,Paul_Ryan
Virginia_Foxx,Steve_Scalise
Virginia_Foxx,Paul_Ryan
Virginia_Foxx,Paul_Ryan
Darin_LaHood,Don_Young
Darin_LaHood,Don_Young
Darin_LaHood,Cathy_McMorris_Rodgers
Carol_Shea-Porter,Carol_Shea-Porter
Carol_Shea-Porter,Bobby_Scott_(politician)
Tom_Emmer,Paul_Ryan
Tom_Emmer,Paul_Ryan
Tom_Emmer,Paul_Ryan
Tom_Emmer,Paul_Ryan
Tom_Emmer,Patrick_McHenry
Bruce_Poliquin,Jacky_Rosen
Jeff_Duncan_(politician),Steve_Scalise
Jeff_Duncan_(politician),Steve_Scalise
Jeff_Duncan_(politician),Andy_Biggs
Jeff_Duncan_(politician),Kevin_McCarthy_(U.S._Representative)
Jeff_Duncan_(politician),Steve_Scalise
Jeff_Duncan_(politician),Steve_Scalise
Jeff_Duncan_(politician),Tom_Rice
Joyce_Beatty,Gwen_Moore
Joyce_Beatty,Robin_Kelly
Joyce_Beatty,Robin_Kelly
Joyce_Beatty,Mark_Pocan
Joyce_Beatty,Jerry_Nadler
Joyce_Beatty,Frederica_Wilson
Joyce_Beatty,Raul_Ruiz_(politician)
Joyce_Beatty,Steve_Stivers
Joyce_Beatty,Steve_Stivers
Joyce_Beatty,Ann_McLane_Kuster
Joyce_Beatty,Jackie_Speier
Joyce_Beatty,Mike_Doyle_(American_politician)
Joyce_Beatty,Elijah_Cummings
Bennie_Thompson,Elijah_Cummings
Bennie_Thompson,Hakeem_Jeffries
Bennie_Thompson,Debbie_Dingell
Bennie_Thompson,John_Yarmuth
Bennie_Thompson,Bonnie_Watson_Coleman
Bennie_Thompson,Cheri_Bustos
Bennie_Thompson,Bonnie_Watson_Coleman
Bennie_Thompson,Marc_Veasey
Bennie_Thompson,Elijah_Cummings
Bennie_Thompson,Frank_Pallone
Bennie_Thompson,Barbara_Lee
Bennie_Thompson,Jamie_Raskin
Bennie_Thompson,Bobby_Scott_(politician)
Bennie_Thompson,Stephanie_Murphy
Bennie_Thompson,Gwen_Moore
Bennie_Thompson,Dan_Kildee
Bennie_Thompson,Bonnie_Watson_Coleman
Bennie_Thompson,Denny_Heck
Bennie_Thompson,Jerry_Nadler
Bennie_Thompson,G._K._Butterfield
Bennie_Thompson,Bonnie_Watson_Coleman
Bennie_Thompson,Ann_McLane_Kuster
Bennie_Thompson,John_Yarmuth
Bennie_Thompson,Karen_Bass
Bennie_Thompson,Joyce_Beatty
Bennie_Thompson,Juan_Vargas
Bennie_Thompson,Joyce_Beatty
Bennie_Thompson,Steny_Hoyer
Bennie_Thompson,Frederica_Wilson
Bennie_Thompson,Nancy_Pelosi
Bennie_Thompson,Pramila_Jayapal
Bennie_Thompson,Adriano_Espaillat
Bennie_Thompson,Ted_Lieu
Bennie_Thompson,Joyce_Beatty
Bennie_Thompson,Cheri_Bustos
Bennie_Thompson,Tim_Walz
Bennie_Thompson,Elijah_Cummings
Bennie_Thompson,Katherine_Clark
Bennie_Thompson,Marcia_Fudge
Bennie_Thompson,Nancy_Pelosi
Bennie_Thompson,Joyce_Beatty
Bennie_Thompson,Donald_McEachin
Bennie_Thompson,Nancy_Pelosi
Bennie_Thompson,Al_Green_(politician)
Bennie_Thompson,Cedric_Richmond
Bennie_Thompson,Elizabeth_Esty
Dwight_Evans_(politician),Mike_Doyle_(American_politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),John_Lewis_(civil_rights_leader)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),John_Lewis_(civil_rights_leader)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Barbara_Lee
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
